order_id,customer_id,order_date,status,region_code
1,26,2025-04-04 20:30:24,SHIPPED,N
2,347,2025-03-27 09:07:46,DELIVERED,N
3,,2024-03-12 06:52:09,DELIVERED,E
4,490,2025-07-09 09:35:15,CANCELLED,N
5,94,2025-08-01 20:21:38,DELIVERED,W
6,354,2025-02-26 06:40:19,DELIVERED,S
7,372,2024-06-24 00:00:00,RETURNED,S
8,303,2024-06-10 02:42:17,DELIVERED,W
9,399,2024-10-08 13:53:00,PLACED,S
10,58,2026-01-20 10:30:53,DELIVERED,N
11,7,2025-02-10 09:38:04,DELIVERED,C
12,490,2026-05-27 17:10:57,DELIVERED,C
13,373,2024-05-27 22:53:03,DELIVERED,W
14,286,2024-08-18 22:14:22,DELIVERED,N
15,241,2024-08-31 18:40:35,CANCELLED,N
16,170,2026-02-02 17:57:52,PLACED,S
17,207,2026-05-05 03:57:44,PLACED,W
18,439,2026-06-09 04:17:26,DELIVERED,W
19,212,2024-01-28 00:00:00,DELIVERED,N
20,288,2025-04-18 04:14:05,DELIVERED,E
21,419,2025-07-18 10:23:21,DELIVERED,C
22,187,2026-01-04 23:42:07,PLACED,S
23,425,2024-01-04 09:54:29,DELIVERED,C
24,55,2026-03-21 00:00:00,SHIPPED,S
25,313,2025-09-27 16:28:58,PLACED,W
26,401,2024-11-30 21:45:33,DELIVERED,W
27,429,2024-03-13 05:39:32,PLACED,W
28,490,2025-12-11 12:39:21,RETURNED,N
29,284,2026-04-03 21:24:57,CANCELLED,W
30,467,2026-02-28 16:01:26,DELIVERED,S
31,308,2024-06-09 20:46:17,DELIVERED,W
32,469,2025-10-12 08:57:10,SHIPPED,W
33,232,2025-06-16 14:42:09,PLACED,C
34,360,2026-03-06 19:43:40,DELIVERED,C
35,320,2024-12-03 15:07:04,DELIVERED,S
36,356,2024-10-03 05:20:16,DELIVERED,E
37,293,2026-05-23 11:19:32,DELIVERED,C
38,217,2025-03-20 04:10:03,DELIVERED,N
39,344,2025-08-14 00:00:00,SHIPPED,S
40,75,2025-03-21 05:48:07,DELIVERED,E
41,17,2024-11-12 21:42:17,DELIVERED,C
42,381,2026-05-22 20:35:25,DELIVERED,C
43,25,2025-03-22 19:56:46,DELIVERED,E
44,381,2026-05-07 16:41:49,DELIVERED,W
45,361,2024-12-16 09:03:26,DELIVERED,C
46,101,2026-04-29 03:17:21,RETURNED,E
47,350,2025-11-28 00:00:00,RETURNED,C
48,220,2024-07-04 09:49:57,SHIPPED,S
49,3,2026-06-26 04:34:41,DELIVERED,S
50,166,2024-03-03 01:05:35,DELIVERED,C
51,294,2025-04-12 19:51:55,PLACED,E
52,95,2026-03-27 04:08:52,DELIVERED,S
53,207,2025-10-08 03:02:26,SHIPPED,S
54,151,2025-05-30 13:30:51,DELIVERED,C
55,422,2026-01-07 15:57:32,DELIVERED,N
56,464,2025-06-21 12:05:12,RETURNED,S
57,165,2024-03-02 22:43:53,DELIVERED,N
58,371,2025-08-22 10:29:51,RETURNED,E
59,229,2026-03-09 22:49:53,SHIPPED,S
60,486,2025-05-12 14:07:30,RETURNED,C
61,,2026-04-08 00:00:00,DELIVERED,S
62,106,2025-10-20 23:40:28,DELIVERED,W
63,79,2024-04-22 00:00:00,DELIVERED,N
64,92,2024-05-15 23:00:56,DELIVERED,C
65,209,2024-12-19 15:14:39,DELIVERED,W
66,,2025-05-06 12:24:19,DELIVERED,C
67,300,2024-04-08 00:00:00,CANCELLED,E
68,403,2026-02-20 03:07:13,DELIVERED,E
69,421,2025-11-10 21:44:58,DELIVERED,C
70,201,2024-12-07 13:11:18,CANCELLED,E
71,455,2024-08-11 19:31:31,DELIVERED,E
72,285,2024-01-18 07:42:35,PLACED,C
73,281,2026-07-15 20:54:23,DELIVERED,E
74,331,2024-11-24 22:07:31,PLACED,S
75,130,2024-12-08 23:34:19,SHIPPED,C
76,478,2024-03-25 11:44:34,DELIVERED,C
